YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (MW/h),GENERATION (GW/h)
1990,WI,Total Electric Power Industry,Wood and Wood Derived Fuels,683116,0.683116
1990,WV,Total Electric Power Industry,Total,79539544,79.539544
1990,WV,Total Electric Power Industry,Coal,77643366,77.643366
1990,WV,Total Electric Power Industry,Hydroelectric Conventional,1295051,1.295051
1990,WV,Total Electric Power Industry,Natural Gas,90063,0.090063
1990,WV,Total Electric Power Industry,Other Gases,174182,0.174182
1990,WV,Total Electric Power Industry,Petroleum,325675,0.325675
1990,WY,Total Electric Power Industry,Total,39974965,39.974965
1990,WY,Total Electric Power Industry,Coal,38908467,38.908467
1990,WY,Total Electric Power Industry,Hydroelectric Conventional,644613,0.644613
1990,WY,Total Electric Power Industry,Natural Gas,268202,0.268202
1990,WY,Total Electric Power Industry,Other Gases,8642,0.008642
1990,WY,Total Electric Power Industry,Petroleum,49205,0.049205
1990,WY,Total Electric Power Industry,Wood and Wood Derived Fuels,50440,0.05044
1991,AK,Total Electric Power Industry,Total,5389828,5.389828
1991,AK,Total Electric Power Industry,Coal,520514,0.520514
1991,AK,Total Electric Power Industry,Hydroelectric Conventional,896113,0.896113
1991,AK,Total Electric Power Industry,Natural Gas,3319395,3.319395
1991,AK,Total Electric Power Industry,Petroleum,513425,0.513425
1991,AK,Total Electric Power Industry,Wind,0,0
1991,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,140381,0.140381
1991,AL,Total Electric Power Industry,Total,88786612,88.786612
1991,AL,Total Electric Power Industry,Coal,58222842,58.222842
1991,AL,Total Electric Power Industry,Hydroelectric Conventional,10757723,10.757723
1991,AL,Total Electric Power Industry,Natural Gas,1222500,1.2225
1991,AL,Total Electric Power Industry,Nuclear,15874637,15.874637
1991,AL,Total Electric Power Industry,Other Biomass,31330,0.03133
1991,AL,Total Electric Power Industry,Other Gases,293206,0.293206
1991,AL,Total Electric Power Industry,Petroleum,167824,0.167824
1991,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,2216550,2.21655
1991,AR,Total Electric Power Industry,Total,40651244,40.651244
1991,AR,Total Electric Power Industry,Coal,19644712,19.644712
